seed,arm,hard_exact,hard_digit,hard_middle_digit,hard_edge_digit,pool_exact,pool_digit,pool_middle_digit,pool_edge_digit
0,BASELINE,0.017699115044247787,0.700589970501475,0.5508849557522124,1.0,0.0453857791225416,0.6615168539325843,0.5393227744401966,1.0
0,TRUE_PAIRS,0.05309734513274336,0.7064896755162242,0.5597345132743363,1.0,0.04236006051437216,0.6472712680577849,0.5199344620425996,1.0
0,SHAM_PAIRS,0.061946902654867256,0.7035398230088495,0.5553097345132744,1.0,0.057488653555219364,0.656099518459069,0.5319497542326598,1.0
1,BASELINE,0.08849557522123894,0.7094395280235988,0.5641592920353983,1.0,0.057488653555219364,0.6573033707865169,0.533588203167668,1.0
1,TRUE_PAIRS,0.04424778761061947,0.6991150442477876,0.5486725663716814,1.0,0.05143721633888049,0.6534911717495987,0.528399781540142,1.0
1,SHAM_PAIRS,0.07079646017699115,0.7064896755162242,0.5597345132743363,1.0,0.05597579425113464,0.6530898876404494,0.5278536318951392,1.0
2,BASELINE,0.07964601769911504,0.7109144542772862,0.5663716814159292,1.0,0.06656580937972768,0.6687399678972713,0.5491534680502458,1.0
2,TRUE_PAIRS,0.07964601769911504,0.7064896755162242,0.5597345132743363,1.0,0.059001512859304085,0.6591091492776886,0.5360458765701802,1.0
2,SHAM_PAIRS,0.061946902654867256,0.7123893805309734,0.5685840707964602,1.0,0.07261724659606657,0.6637239165329053,0.5423265974877116,1.0
