N,y,q,r,y_digits,q_digits,q_norm,q_bin,y_six_digits,exact,correct_digits,valid_digits
247,17045,69,2,5,2,0.2804878,Q25_50,False,0,0,1
247,15071,61,4,5,2,0.24796748,Q0_25,False,0,0,1
247,58586,237,47,5,3,0.96341463,Q75_100,False,0,0,2
247,16036,64,228,5,2,0.2601626,Q25_50,False,0,1,3
247,44902,181,195,5,3,0.73577236,Q50_75,False,0,1,3
247,30179,122,45,5,3,0.49593496,Q25_50,False,0,0,2
247,9988,40,108,4,2,0.16260163,Q0_25,False,0,1,3
247,44325,179,112,5,3,0.72764228,Q50_75,False,0,1,3
247,60617,245,102,5,3,0.99593496,Q75_100,False,0,1,3
247,55630,225,55,5,3,0.91463415,Q75_100,False,0,0,2
247,73,0,73,2,1,0.0,Q0_25,False,0,0,2
247,10634,43,13,5,2,0.17479675,Q0_25,False,0,1,2
247,51854,209,231,5,3,0.8495935,Q75_100,False,1,3,3
247,3643,14,185,4,2,0.05691057,Q0_25,False,0,1,3
247,24503,99,50,5,2,0.40243902,Q25_50,False,0,0,2
247,56407,228,91,5,3,0.92682927,Q75_100,False,0,0,2
247,4395,17,196,4,2,0.06910569,Q0_25,False,0,1,3
247,45615,184,167,5,3,0.74796748,Q50_75,False,0,1,3
247,12288,49,185,5,2,0.19918699,Q0_25,False,0,1,3
247,10763,43,142,5,2,0.17479675,Q0_25,False,0,1,3
247,33585,135,240,5,3,0.54878049,Q50_75,False,0,1,3
247,14547,58,221,5,2,0.23577236,Q0_25,False,0,1,3
247,44849,181,142,5,3,0.73577236,Q50_75,False,0,2,3
247,37298,151,1,5,3,0.61382114,Q50_75,False,0,0,1
247,56200,227,131,5,3,0.92276423,Q75_100,False,0,2,3
247,49029,198,123,5,3,0.80487805,Q75_100,False,0,1,3
247,43420,175,195,5,3,0.71138211,Q50_75,False,0,1,3
247,40339,163,78,5,3,0.66260163,Q50_75,False,0,0,2
247,20878,84,130,5,2,0.34146341,Q25_50,False,0,1,3
247,34460,139,127,5,3,0.56504065,Q50_75,False,0,1,3
247,23643,95,178,5,2,0.38617886,Q25_50,False,0,1,3
247,56567,229,4,5,3,0.93089431,Q75_100,False,1,1,1
247,6063,24,135,4,2,0.09756098,Q0_25,False,0,1,3
247,12113,49,10,5,2,0.19918699,Q0_25,False,0,1,2
247,23694,95,229,5,2,0.38617886,Q25_50,False,0,1,3
247,35138,142,64,5,3,0.57723577,Q50_75,False,0,0,2
247,1277,5,42,4,1,0.0203252,Q0_25,False,0,1,2
247,55974,226,152,5,3,0.91869919,Q75_100,False,0,1,3
247,37140,150,90,5,3,0.6097561,Q50_75,False,0,0,2
247,33157,134,59,5,3,0.54471545,Q50_75,False,0,0,2
247,30510,123,129,5,3,0.5,Q50_75,False,0,1,3
247,40630,164,122,5,3,0.66666667,Q50_75,False,0,1,3
247,46933,190,3,5,3,0.77235772,Q75_100,False,0,0,1
247,20453,82,199,5,2,0.33333333,Q25_50,False,0,0,3
247,23864,96,152,5,2,0.3902439,Q25_50,False,0,1,3
247,17172,69,129,5,2,0.2804878,Q25_50,False,0,1,3
247,45092,182,138,5,3,0.7398374,Q50_75,False,0,2,3
247,42118,170,128,5,3,0.69105691,Q50_75,False,0,1,3
247,25342,102,148,5,3,0.41463415,Q25_50,False,0,1,3
247,11924,48,68,5,2,0.19512195,Q0_25,False,0,0,2
247,20475,82,221,5,2,0.33333333,Q25_50,False,0,2,3
247,16394,66,92,5,2,0.26829268,Q25_50,False,0,0,2
247,8962,36,70,4,2,0.14634146,Q0_25,False,0,1,2
247,41975,169,232,5,3,0.68699187,Q50_75,False,0,1,3
247,20531,83,30,5,2,0.33739837,Q25_50,False,0,0,2
247,49921,202,27,5,3,0.82113821,Q75_100,False,0,1,2
247,11599,46,237,5,2,0.18699187,Q0_25,False,0,1,3
247,240,0,240,3,1,0.0,Q0_25,False,0,1,3
247,46140,186,198,5,3,0.75609756,Q75_100,False,0,1,3
247,9078,36,186,4,2,0.14634146,Q0_25,False,0,1,3
247,9729,39,96,4,2,0.15853659,Q0_25,False,0,1,2
247,29718,120,78,5,3,0.48780488,Q25_50,False,0,0,2
247,26672,107,243,5,3,0.43495935,Q25_50,False,0,1,3
247,52255,211,138,5,3,0.85772358,Q75_100,False,0,2,3
247,42773,173,42,5,3,0.70325203,Q50_75,False,0,0,2
247,44332,179,119,5,3,0.72764228,Q50_75,False,0,1,3
247,12228,49,125,5,2,0.19918699,Q0_25,False,0,1,3
247,21274,86,32,5,2,0.3495935,Q25_50,False,0,1,2
247,34950,141,123,5,3,0.57317073,Q50_75,False,0,1,3
247,53,0,53,2,1,0.0,Q0_25,False,0,0,2
247,59311,240,31,5,3,0.97560976,Q75_100,False,0,1,2
247,51890,210,20,5,3,0.85365854,Q75_100,False,0,0,2
247,59855,242,81,5,3,0.98373984,Q75_100,False,0,0,2
247,47726,193,55,5,3,0.78455285,Q75_100,False,0,0,2
247,27954,113,43,5,3,0.45934959,Q25_50,False,0,0,2
247,40726,164,218,5,3,0.66666667,Q50_75,False,0,2,3
247,56439,228,123,5,3,0.92682927,Q75_100,False,0,1,3
247,51738,209,115,5,3,0.8495935,Q75_100,False,0,1,3
247,3362,13,151,4,2,0.05284553,Q0_25,False,0,1,3
247,5227,21,40,4,2,0.08536585,Q0_25,False,0,0,2
247,9276,37,137,4,2,0.1504065,Q0_25,False,0,1,3
247,10108,40,228,5,2,0.16260163,Q0_25,False,0,1,3
247,56257,227,188,5,3,0.92276423,Q75_100,False,0,1,3
247,13260,53,169,5,2,0.21544715,Q0_25,False,0,1,3
247,60969,246,207,5,3,1.0,Q75_100,False,0,1,3
247,14330,58,4,5,2,0.23577236,Q0_25,False,0,0,1
247,20823,84,75,5,2,0.34146341,Q25_50,False,0,0,2
247,59430,240,150,5,3,0.97560976,Q75_100,False,0,1,3
247,2966,12,2,4,2,0.04878049,Q0_25,False,0,0,1
247,7037,28,121,4,2,0.11382114,Q0_25,False,0,2,3
247,48707,197,48,5,3,0.80081301,Q75_100,False,0,0,2
247,33277,134,179,5,3,0.54471545,Q50_75,False,0,1,3
247,9008,36,116,4,2,0.14634146,Q0_25,False,0,1,3
247,53354,216,2,5,3,0.87804878,Q75_100,False,0,0,1
247,15773,63,212,5,2,0.25609756,Q25_50,False,0,2,3
247,33029,133,178,5,3,0.54065041,Q50_75,False,0,1,3
247,56463,228,147,5,3,0.92682927,Q75_100,False,0,2,3
247,48923,198,17,5,3,0.80487805,Q75_100,False,0,1,2
247,35256,142,182,5,3,0.57723577,Q50_75,False,0,1,3
247,490,1,243,3,1,0.00406504,Q0_25,False,0,1,3
247,1233,4,245,4,1,0.01626016,Q0_25,False,0,1,3
247,38173,154,135,5,3,0.62601626,Q50_75,False,0,1,3
247,23893,96,181,5,2,0.3902439,Q25_50,False,0,2,3
247,5566,22,132,4,2,0.08943089,Q0_25,False,0,1,3
247,55628,225,53,5,3,0.91463415,Q75_100,False,0,0,2
247,43573,176,101,5,3,0.71544715,Q50_75,False,0,1,3
247,14004,56,172,5,2,0.22764228,Q0_25,False,0,1,3
247,35214,142,140,5,3,0.57723577,Q50_75,False,0,1,3
247,30357,122,223,5,3,0.49593496,Q25_50,False,0,2,3
247,33630,136,38,5,3,0.55284553,Q50_75,False,0,0,2
247,32150,130,40,5,3,0.52845528,Q50_75,False,0,0,2
247,58338,236,46,5,3,0.95934959,Q75_100,False,0,0,2
247,37001,149,198,5,3,0.60569106,Q50_75,False,0,0,3
247,42463,171,226,5,3,0.69512195,Q50_75,False,0,1,3
247,51730,209,107,5,3,0.8495935,Q75_100,False,0,1,3
247,32509,131,152,5,3,0.53252033,Q50_75,False,0,1,3
247,55061,222,227,5,3,0.90243902,Q75_100,False,0,1,3
247,54739,221,152,5,3,0.89837398,Q75_100,False,0,1,3
247,51694,209,71,5,3,0.8495935,Q75_100,False,0,1,2
247,4361,17,162,4,2,0.06910569,Q0_25,False,0,2,3
247,31011,125,136,5,3,0.50813008,Q50_75,False,0,2,3
247,14913,60,93,5,2,0.24390244,Q0_25,False,0,0,2
247,17689,71,152,5,2,0.28861789,Q25_50,False,0,2,3
247,41220,166,218,5,3,0.67479675,Q50_75,False,0,2,3
247,50922,206,40,5,3,0.83739837,Q75_100,False,0,0,2
247,48701,197,42,5,3,0.80081301,Q75_100,False,0,0,2
247,37426,151,129,5,3,0.61382114,Q50_75,False,0,1,3
247,29665,120,25,5,3,0.48780488,Q25_50,False,0,1,2
247,5924,23,243,4,2,0.09349593,Q0_25,False,0,2,3
247,2371,9,148,4,1,0.03658537,Q0_25,False,0,1,3
247,4185,16,233,4,2,0.06504065,Q0_25,False,1,3,3
247,43720,177,1,5,3,0.7195122,Q50_75,False,1,1,1
247,17841,72,57,5,2,0.29268293,Q25_50,False,0,0,2
247,48825,197,166,5,3,0.80081301,Q75_100,False,0,1,3
247,21772,88,36,5,2,0.35772358,Q25_50,False,0,1,2
247,25317,102,123,5,3,0.41463415,Q25_50,False,0,1,3
247,51363,207,234,5,3,0.84146341,Q75_100,False,0,2,3
247,56290,227,221,5,3,0.92276423,Q75_100,False,0,1,3
247,15239,61,172,5,2,0.24796748,Q0_25,False,0,1,3
247,41609,168,113,5,3,0.68292683,Q50_75,False,0,2,3
247,60458,244,190,5,3,0.99186992,Q75_100,False,0,1,3
247,31343,126,221,5,3,0.51219512,Q50_75,False,0,2,3
247,5303,21,116,4,2,0.08536585,Q0_25,False,0,2,3
247,35910,145,95,5,3,0.58943089,Q50_75,False,0,0,2
247,56568,229,5,5,3,0.93089431,Q75_100,False,0,0,1
247,9901,40,21,4,2,0.16260163,Q0_25,False,0,1,2
247,60710,245,195,5,3,0.99593496,Q75_100,False,0,1,3
247,15577,63,16,5,2,0.25609756,Q25_50,False,0,1,2
247,4984,20,44,4,2,0.08130081,Q0_25,False,0,1,2
247,20205,81,198,5,2,0.32926829,Q25_50,False,0,1,3
247,45647,184,199,5,3,0.74796748,Q50_75,False,0,0,3
247,33356,135,11,5,3,0.54878049,Q50_75,False,1,2,2
247,4295,17,96,4,2,0.06910569,Q0_25,False,0,1,2
247,50577,204,189,5,3,0.82926829,Q75_100,False,0,1,3
247,58309,236,17,5,3,0.95934959,Q75_100,False,0,0,2
247,41569,168,73,5,3,0.68292683,Q50_75,False,0,0,2
247,29986,121,99,5,3,0.49186992,Q25_50,False,0,0,2
247,45295,183,94,5,3,0.74390244,Q50_75,False,0,0,2
247,2036,8,60,4,1,0.03252033,Q0_25,False,0,0,2
247,60853,246,91,5,3,1.0,Q75_100,False,0,1,2
247,54634,221,47,5,3,0.89837398,Q75_100,False,0,1,2
247,59117,239,84,5,3,0.97154472,Q75_100,False,0,0,2
247,38438,155,153,5,3,0.6300813,Q50_75,False,0,1,3
247,22791,92,67,5,2,0.37398374,Q25_50,False,0,0,2
247,40872,165,117,5,3,0.67073171,Q50_75,False,0,1,3
247,48741,197,82,5,3,0.80081301,Q75_100,False,0,0,2
247,8927,36,35,4,2,0.14634146,Q0_25,False,0,0,2
247,20241,81,234,5,2,0.32926829,Q25_50,False,0,1,3
247,12423,50,73,5,2,0.20325203,Q0_25,False,0,0,2
247,47209,191,32,5,3,0.77642276,Q75_100,False,0,1,2
247,51802,209,179,5,3,0.8495935,Q75_100,False,0,1,3
247,51076,206,194,5,3,0.83739837,Q75_100,False,0,0,3
247,21864,88,128,5,2,0.35772358,Q25_50,False,0,1,3
247,38571,156,39,5,3,0.63414634,Q50_75,False,0,0,2
247,8368,33,217,4,2,0.13414634,Q0_25,False,0,1,3
247,39040,158,14,5,3,0.64227642,Q50_75,False,0,1,2
247,51414,208,38,5,3,0.84552846,Q75_100,False,0,0,2
247,12109,49,6,5,2,0.19918699,Q0_25,False,0,0,1
247,60022,243,1,5,3,0.98780488,Q75_100,False,1,1,1
247,4931,19,238,4,2,0.07723577,Q0_25,False,0,1,3
247,56879,230,69,5,3,0.93495935,Q75_100,False,0,0,2
247,44188,178,222,5,3,0.72357724,Q50_75,False,0,1,3
247,8158,33,7,4,2,0.13414634,Q0_25,False,0,0,1
247,52664,213,53,5,3,0.86585366,Q75_100,False,0,0,2
247,31883,129,20,5,3,0.52439024,Q50_75,False,0,0,2
247,24937,100,237,5,3,0.40650407,Q25_50,False,0,2,3
247,48427,196,15,5,3,0.79674797,Q75_100,False,0,1,2
247,17556,71,19,5,2,0.28861789,Q25_50,False,0,1,2
247,26402,106,220,5,3,0.43089431,Q25_50,False,0,1,3
247,25188,101,241,5,3,0.41056911,Q25_50,False,0,2,3
247,38123,154,85,5,3,0.62601626,Q50_75,False,0,0,2
247,27334,110,164,5,3,0.44715447,Q25_50,False,0,1,3
247,50917,206,35,5,3,0.83739837,Q75_100,False,0,0,2
247,23576,95,111,5,2,0.38617886,Q25_50,False,1,3,3
247,21087,85,92,5,2,0.34552846,Q25_50,False,0,1,2
247,45568,184,120,5,3,0.74796748,Q50_75,False,0,1,3
247,2901,11,184,4,2,0.04471545,Q0_25,False,0,2,3
247,42063,170,73,5,3,0.69105691,Q50_75,False,0,0,2
247,3355,13,144,4,2,0.05284553,Q0_25,False,0,2,3
247,42545,172,61,5,3,0.69918699,Q50_75,False,0,1,2
247,3759,15,54,4,2,0.06097561,Q0_25,False,0,0,2
247,4761,19,68,4,2,0.07723577,Q0_25,False,0,1,2
247,2940,11,223,4,2,0.04471545,Q0_25,False,0,2,3
247,3203,12,239,4,2,0.04878049,Q0_25,False,0,1,3
247,26108,105,173,5,3,0.42682927,Q25_50,False,0,1,3
247,35645,144,77,5,3,0.58536585,Q50_75,False,0,0,2
247,40530,164,22,5,3,0.66666667,Q50_75,False,0,0,2
247,45704,185,9,5,3,0.75203252,Q75_100,False,0,0,1
247,31566,127,197,5,3,0.51626016,Q50_75,False,0,1,3
247,57310,232,6,5,3,0.94308943,Q75_100,False,0,0,1
247,26109,105,174,5,3,0.42682927,Q25_50,False,0,1,3
247,27147,109,224,5,3,0.44308943,Q25_50,False,0,2,3
247,33631,136,39,5,3,0.55284553,Q50_75,False,0,0,2
247,60346,244,78,5,3,0.99186992,Q75_100,False,0,0,2
247,2447,9,224,4,1,0.03658537,Q0_25,False,0,2,3
247,43763,177,44,5,3,0.7195122,Q50_75,False,0,1,2
247,57416,232,112,5,3,0.94308943,Q75_100,False,0,1,3
247,31888,129,25,5,3,0.52439024,Q50_75,False,0,0,2
247,45102,182,148,5,3,0.7398374,Q50_75,False,0,1,3
247,49558,200,158,5,3,0.81300813,Q75_100,False,0,1,3
247,46560,188,124,5,3,0.76422764,Q75_100,False,0,2,3
247,41737,168,241,5,3,0.68292683,Q50_75,False,0,1,3
247,6930,28,14,4,2,0.11382114,Q0_25,False,0,0,2
247,22435,90,205,5,2,0.36585366,Q25_50,False,0,1,3
247,21001,85,6,5,2,0.34552846,Q25_50,False,0,0,1
247,4973,20,33,4,2,0.08130081,Q0_25,False,0,0,2
247,16800,68,4,5,2,0.27642276,Q25_50,False,0,0,1
247,15463,62,149,5,2,0.25203252,Q25_50,False,0,1,3
247,7906,32,2,4,2,0.1300813,Q0_25,False,0,0,1
247,46888,189,205,5,3,0.76829268,Q75_100,False,0,1,3
247,451,1,204,3,1,0.00406504,Q0_25,False,0,1,3
247,26666,107,237,5,3,0.43495935,Q25_50,False,0,1,3
247,19446,78,180,5,2,0.31707317,Q25_50,False,0,1,3
247,58468,236,176,5,3,0.95934959,Q75_100,False,0,1,3
247,12395,50,45,5,2,0.20325203,Q0_25,False,0,0,2
247,10840,43,219,5,2,0.17479675,Q0_25,False,0,2,3
247,57282,231,225,5,3,0.93902439,Q75_100,False,0,1,3
247,42209,170,219,5,3,0.69105691,Q50_75,False,0,2,3
247,35892,145,77,5,3,0.58943089,Q50_75,False,0,0,2
247,43839,177,120,5,3,0.7195122,Q50_75,False,0,1,3
247,56130,227,61,5,3,0.92276423,Q75_100,False,0,0,2
247,52272,211,155,5,3,0.85772358,Q75_100,False,0,1,3
247,2016,8,40,4,1,0.03252033,Q0_25,False,0,1,2
247,23846,96,134,5,2,0.3902439,Q25_50,False,0,1,3
247,12482,50,132,5,2,0.20325203,Q0_25,False,0,1,3
247,15351,62,37,5,2,0.25203252,Q25_50,False,0,0,2
247,21642,87,153,5,2,0.35365854,Q25_50,False,0,1,3
247,57536,232,232,5,3,0.94308943,Q75_100,False,0,2,3
247,23784,96,72,5,2,0.3902439,Q25_50,False,0,0,2
247,38888,157,109,5,3,0.63821138,Q50_75,False,0,0,3
247,119,0,119,3,1,0.0,Q0_25,False,0,1,3
247,44934,181,227,5,3,0.73577236,Q50_75,False,0,2,3
247,24302,98,96,5,2,0.39837398,Q25_50,False,0,0,2
247,55571,224,243,5,3,0.91056911,Q75_100,False,0,1,3
247,52083,210,213,5,3,0.85365854,Q75_100,False,0,2,3
247,21669,87,180,5,2,0.35365854,Q25_50,False,0,1,3
247,32458,131,101,5,3,0.53252033,Q50_75,False,0,2,3
247,54023,218,177,5,3,0.88617886,Q75_100,False,0,1,3
247,998,4,10,3,1,0.01626016,Q0_25,False,0,0,2
247,4986,20,46,4,2,0.08130081,Q0_25,False,0,1,2
247,39944,161,177,5,3,0.65447154,Q50_75,False,0,1,3
247,21118,85,123,5,2,0.34552846,Q25_50,False,0,1,3
247,9019,36,127,4,2,0.14634146,Q0_25,False,0,1,3
247,21655,87,166,5,2,0.35365854,Q25_50,False,0,1,3
247,27682,112,18,5,3,0.45528455,Q25_50,False,0,1,2
247,35822,145,7,5,3,0.58943089,Q50_75,False,0,0,1
247,44292,179,79,5,3,0.72764228,Q50_75,False,0,0,2
247,32212,130,102,5,3,0.52845528,Q50_75,False,0,1,3
247,6881,27,212,4,2,0.1097561,Q0_25,False,0,2,3
247,31501,127,132,5,3,0.51626016,Q50_75,False,0,1,3
247,38194,154,156,5,3,0.62601626,Q50_75,False,0,1,3
247,32948,133,97,5,3,0.54065041,Q50_75,False,0,0,2
247,35937,145,122,5,3,0.58943089,Q50_75,False,0,1,3
247,52620,213,9,5,3,0.86585366,Q75_100,False,0,0,1
247,36350,147,41,5,3,0.59756098,Q50_75,False,0,1,2
247,45331,183,130,5,3,0.74390244,Q50_75,False,0,2,3
247,1791,7,62,4,1,0.02845528,Q0_25,False,0,1,2
247,25281,102,87,5,3,0.41463415,Q25_50,False,0,0,2
247,3223,13,12,4,2,0.05284553,Q0_25,False,0,1,2
247,51339,207,210,5,3,0.84146341,Q75_100,False,0,1,3
247,57895,234,97,5,3,0.95121951,Q75_100,False,0,0,2
247,59501,240,221,5,3,0.97560976,Q75_100,False,0,0,3
247,41258,167,9,5,3,0.67886179,Q50_75,False,0,0,1
247,5020,20,80,4,2,0.08130081,Q0_25,False,0,0,2
247,60265,243,244,5,3,0.98780488,Q75_100,False,0,1,3
247,48771,197,112,5,3,0.80081301,Q75_100,False,0,1,3
