seed,x,digits,carry_bin,lsd_position,correct,n_terms,raw_coeff,carry_in,carry_out,total_pre_mod,edge_distance,target_digit
0,186,3,high,2,0,3,76,9,8,85,2,5
0,186,3,high,1,0,2,96,3,9,99,1,9
0,186,3,high,0,1,1,36,0,3,36,0,6
0,261,3,high,5,1,0,0,0,0,0,0,0
0,261,3,high,4,0,1,4,2,0,6,1,6
0,261,3,high,3,1,2,24,4,2,28,2,8
0,261,3,high,2,0,3,40,1,4,41,2,1
0,261,3,high,1,1,2,12,0,1,12,1,2
0,261,3,high,0,1,1,1,0,0,1,0,1
0,188,3,high,5,1,0,0,0,0,0,0,0
0,188,3,high,4,1,1,1,2,0,3,1,3
0,188,3,high,3,0,2,16,9,2,25,2,5
0,188,3,high,2,0,3,80,13,9,93,2,3
0,188,3,high,1,1,2,128,6,13,134,1,4
0,188,3,high,0,1,1,64,0,6,64,0,4
0,287,3,high,5,1,0,0,0,0,0,0,0
0,287,3,high,4,1,1,4,4,0,8,1,8
0,287,3,high,3,0,2,32,10,4,42,2,2
0,287,3,high,2,0,3,92,11,10,103,2,3
0,287,3,high,1,0,2,112,4,11,116,1,6
0,287,3,high,0,1,1,49,0,4,49,0,9
0,159,3,high,5,1,0,0,0,0,0,0,0
0,159,3,high,4,1,1,1,1,0,2,1,2
0,159,3,high,3,0,2,10,5,1,15,2,5
0,159,3,high,2,0,3,43,9,5,52,2,2
0,159,3,high,1,1,2,90,8,9,98,1,8
0,159,3,high,0,1,1,81,0,8,81,0,1
0,139,3,high,5,1,0,0,0,0,0,0,0
0,139,3,high,4,1,1,1,0,0,1,1,1
0,139,3,high,3,0,2,6,3,0,9,2,9
0,139,3,high,2,1,3,27,6,3,33,2,3
0,139,3,high,1,0,2,54,8,6,62,1,2
0,139,3,high,0,1,1,81,0,8,81,0,1
0,277,3,high,5,1,0,0,0,0,0,0,0
0,277,3,high,4,1,1,4,3,0,7,1,7
0,277,3,high,3,0,2,28,8,3,36,2,6
0,277,3,high,2,0,3,77,10,8,87,2,7
0,277,3,high,1,0,2,98,4,10,102,1,2
0,277,3,high,0,1,1,49,0,4,49,0,9
0,190,3,high,5,1,0,0,0,0,0,0,0
0,190,3,high,4,1,1,1,2,0,3,1,3
0,190,3,high,3,0,2,18,8,2,26,2,6
0,190,3,high,2,1,3,81,0,8,81,2,1
0,190,3,high,1,1,2,0,0,0,0,1,0
0,190,3,high,0,1,1,0,0,0,0,0,0
0,136,3,high,5,1,0,0,0,0,0,0,0
0,136,3,high,4,1,1,1,0,0,1,1,1
0,136,3,high,3,0,2,6,2,0,8,2,8
0,136,3,high,2,0,3,21,3,2,24,2,4
0,136,3,high,1,0,2,36,3,3,39,1,9
0,136,3,high,0,1,1,36,0,3,36,0,6
