seed,digits,edge_mean,middle_mean,gap_middle_minus_edge
0,3,1.0,0.4703947368421053,-0.5296052631578947
0,4,1.0,0.47214883311316597,-0.527851166886834
1,3,1.0,0.475328947368421,-0.524671052631579
1,4,1.0,0.4713782474680757,-0.5286217525319243
2,3,1.0,0.4638157894736842,-0.5361842105263158
2,4,1.0,0.48139586085424924,-0.5186041391457508
