feature,threshold,mean_effect_hi_minus_lo,seed_effects,abs_effect
raw_coeff,14,-0.38613204387092664,"[-0.3769927234271235, -0.3951096815613837, -0.38629372662427264]",0.38613204387092664
total_pre_mod,154,-0.38463112907389335,"[-0.3989341471573439, -0.36064409404799547, -0.39431514601634066]",0.38463112907389335
total_pre_mod,155,-0.383877249006932,"[-0.40200950229768667, -0.3578316068229613, -0.391790637900148]",0.383877249006932
raw_coeff,15,-0.38283901003833254,"[-0.3733042664279247, -0.39172984521035714, -0.38348291847671584]",0.38283901003833254
total_pre_mod,157,-0.38125259443752596,"[-0.39655977584059776, -0.36169053549190533, -0.38550747198007473]",0.38125259443752596
raw_coeff,16,-0.3801256942717523,"[-0.37702827861359645, -0.39128770124205253, -0.37206110295960804]",0.3801256942717523
total_pre_mod,156,-0.37963586755999956,"[-0.3946569649734371, -0.3603588988607179, -0.3838917388458436]",0.37963586755999956
total_pre_mod,162,-0.37945422130204737,"[-0.38919082125603865, -0.3607919254658385, -0.388379917184265]",0.37945422130204737
total_pre_mod,160,-0.37915888561074923,"[-0.3924254083957698, -0.36599730785909634, -0.37905394057738145]",0.37915888561074923
total_pre_mod,161,-0.3775890775890776,"[-0.39095349095349097, -0.36435786435786444, -0.3774558774558774]",0.3775890775890776
total_pre_mod,164,-0.3770111413886417,"[-0.399634894894929, -0.34768643101546914, -0.38371209825552716]",0.3770111413886417
raw_coeff,144,-0.3748538985271767,"[-0.39715983468863014, -0.34082112791842667, -0.38658073297447326]",0.3748538985271767
total_pre_mod,21,-0.37440862154309373,"[-0.3692826043126646, -0.38171535444451193, -0.3722279058721047]",0.37440862154309373
total_pre_mod,163,-0.3743370274276086,"[-0.3843203121602331, -0.3553305444582255, -0.3833602256643672]",0.3743370274276086
raw_coeff,17,-0.3740534140939305,"[-0.3701533044756757, -0.3859779424973751, -0.3660289953087408]",0.3740534140939305
total_pre_mod,165,-0.3734195778005745,"[-0.39640405398804035, -0.34369876121757575, -0.3801559181961075]",0.3734195778005745
total_pre_mod,82,-0.37323994900134094,"[-0.36775783574561965, -0.37726876155526307, -0.37469324970314016]",0.37323994900134094
total_pre_mod,25,-0.37252244582008753,"[-0.3685927010470172, -0.3798198792491081, -0.36915475716413726]",0.37252244582008753
total_pre_mod,158,-0.37126913218825974,"[-0.3872832848867316, -0.351002418877834, -0.3755216928002135]",0.37126913218825974
raw_coeff,145,-0.37121137495728806,"[-0.39853087162196504, -0.33963799402938893, -0.3754652592205101]",0.37121137495728806
raw_coeff,154,-0.3712049659761359,"[-0.3983963797965589, -0.34242535803052526, -0.3727931601013237]",0.3712049659761359
total_pre_mod,22,-0.37013214652464027,"[-0.36785175877480086, -0.3756793861797364, -0.36686529461938355]",0.37013214652464027
total_pre_mod,166,-0.3697228876239936,"[-0.39307892724597154, -0.3395940397887901, -0.3764956958372193]",0.3697228876239936
total_pre_mod,87,-0.36934206757682864,"[-0.360192965744913, -0.3782858848761682, -0.36954735210940476]",0.36934206757682864
total_pre_mod,102,-0.3681537209095593,"[-0.3692714185926444, -0.366537176325302, -0.3686525678107314]",0.3681537209095593
raw_coeff,146,-0.3677672583241967,"[-0.3979575962307761, -0.3373448010193498, -0.36799937772246427]",0.3677672583241967
total_pre_mod,83,-0.3670749270457139,"[-0.3615486792595534, -0.37120700739312124, -0.3684690944844669]",0.3670749270457139
total_pre_mod,81,-0.36671691536322,"[-0.3618040538988858, -0.3710564672680822, -0.36729022492269203]",0.36671691536322
total_pre_mod,26,-0.3660879434450879,"[-0.3603861686998147, -0.374882796366569, -0.36299486526888]",0.3660879434450879
raw_coeff,156,-0.36589819196385903,"[-0.3912931688033259, -0.34173754728788275, -0.3646638598003685]",0.36589819196385903
total_pre_mod,86,-0.3652777913833669,"[-0.355198938412396, -0.3736662022346489, -0.36696823350305574]",0.3652777913833669
total_pre_mod,88,-0.36525060998797004,"[-0.36771088168991073, -0.36910184770996163, -0.3589391005640379]",0.36525060998797004
carry_out,15,-0.36512142857947644,"[-0.38201872287165795, -0.35026314099422345, -0.36308242187254797]",0.36512142857947644
total_pre_mod,159,-0.36512142857947644,"[-0.38201872287165795, -0.35026314099422345, -0.36308242187254797]",0.36512142857947644
total_pre_mod,167,-0.3646043926646649,"[-0.39395775659696236, -0.3310116594677945, -0.3688437619292376]",0.3646043926646649
